#At time x process y state arr w total z remain y wait k 
At time 5 process 1 started arr 5 total 26 remain 26 wait 0 
At time 7 process 1 stopped arr 5 total 26 remain 24 wait 0 
At time 7 process 1 continued arr 5 total 26 remain 24 wait 0 
At time 9 process 1 stopped arr 5 total 26 remain 22 wait 0 
At time 9 process 1 continued arr 5 total 26 remain 22 wait 0 
At time 11 process 1 stopped arr 5 total 26 remain 20 wait 0 
At time 11 process 1 continued arr 5 total 26 remain 20 wait 0 
At time 13 process 1 stopped arr 5 total 26 remain 18 wait 0 
At time 13 process 1 continued arr 5 total 26 remain 18 wait 0 
At time 15 process 1 stopped arr 5 total 26 remain 16 wait 0 
At time 15 process 1 continued arr 5 total 26 remain 16 wait 0 
At time 17 process 1 stopped arr 5 total 26 remain 14 wait 0 
At time 17 process 1 continued arr 5 total 26 remain 14 wait 0 
At time 19 process 1 stopped arr 5 total 26 remain 12 wait 0 
At time 19 process 2 started arr 16 total 12 remain 12 wait 3 
At time 21 process 2 stopped arr 16 total 12 remain 10 wait 3 
At time 21 process 1 continued arr 5 total 26 remain 12 wait 0 
At time 23 process 1 stopped arr 5 total 26 remain 10 wait 0 
At time 23 process 2 continued arr 16 total 12 remain 10 wait 3 
At time 25 process 2 stopped arr 16 total 12 remain 8 wait 3 
At time 25 process 3 started arr 20 total 2 remain 2 wait 5 
At time 27 process 3 finished arr 20 total 2 remain 0 wait 5 TA 5 WTA 2.50
At time 27 process 1 continued arr 5 total 26 remain 10 wait 0 
At time 29 process 1 stopped arr 5 total 26 remain 8 wait 0 
At time 29 process 2 continued arr 16 total 12 remain 8 wait 3 
At time 31 process 2 stopped arr 16 total 12 remain 6 wait 3 
At time 31 process 4 started arr 26 total 5 remain 5 wait 5 
At time 33 process 4 stopped arr 26 total 5 remain 3 wait 5 
At time 33 process 1 continued arr 5 total 26 remain 8 wait 0 
At time 35 process 1 stopped arr 5 total 26 remain 6 wait 0 
At time 35 process 5 started arr 27 total 3 remain 3 wait 8 
At time 37 process 5 stopped arr 27 total 3 remain 1 wait 8 
At time 37 process 2 continued arr 16 total 12 remain 6 wait 3 
At time 39 process 2 stopped arr 16 total 12 remain 4 wait 3 
At time 39 process 4 continued arr 26 total 5 remain 3 wait 5 
At time 41 process 4 stopped arr 26 total 5 remain 1 wait 5 
At time 41 process 1 continued arr 5 total 26 remain 6 wait 0 
At time 43 process 1 stopped arr 5 total 26 remain 4 wait 0 
At time 43 process 5 continued arr 27 total 3 remain 1 wait 8 
At time 45 process 5 finished arr 27 total 3 remain 0 wait 8 TA 16 WTA 5.33
At time 45 process 2 continued arr 16 total 12 remain 4 wait 3 
At time 47 process 2 stopped arr 16 total 12 remain 2 wait 3 
At time 47 process 4 continued arr 26 total 5 remain 1 wait 5 
At time 49 process 4 finished arr 26 total 5 remain 0 wait 5 TA 21 WTA 4.20
At time 49 process 1 continued arr 5 total 26 remain 4 wait 0 
At time 51 process 1 stopped arr 5 total 26 remain 2 wait 0 
At time 51 process 2 continued arr 16 total 12 remain 2 wait 3 
At time 53 process 2 finished arr 16 total 12 remain 0 wait 3 TA 35 WTA 2.92
At time 53 process 1 continued arr 5 total 26 remain 2 wait 0 
At time 55 process 1 finished arr 5 total 26 remain 0 wait 0 TA 48 WTA 1.85
